date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:45	24138/24138	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2029%20Oct%202020%2012:44:14%20GMT	https://swiftbusinesspay.com/wp-includes/js/masonry.min.js?ver=4.2.2	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-includes/js/masonry.min3a05.js	(from https://swiftbusinesspay.com/)
21:09:46	1819/1819	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2029%20Oct%202020%2012:44:14%20GMT	https://swiftbusinesspay.com/wp-includes/js/jquery/jquery.masonry.min.js?ver=3.1.2b	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-includes/js/jquery/jquery.masonry.minef70.js	(from https://swiftbusinesspay.com/)
21:09:47	45197/45197	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/simplebar.min.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/simplebar.minac31.js	(from https://swiftbusinesspay.com/)
21:09:48	14917/14917	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-functions.min.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-functions.minac31.js	(from https://swiftbusinesspay.com/)
21:09:49	221/221	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-responsive.min.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-responsive.minac31.js	(from https://swiftbusinesspay.com/)
21:09:50	9787/9787	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-conditional.min.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-conditional.minac31.js	(from https://swiftbusinesspay.com/)
21:09:51	12399/12399	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-scripts.min.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-scripts.minac31.js	(from https://swiftbusinesspay.com/)
21:09:52	2783/2783	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-profile.min.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-profile.minac31.js	(from https://swiftbusinesspay.com/)
21:09:53	2771/2771	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-account.min.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-account.minac31.js	(from https://swiftbusinesspay.com/)
21:09:54	1426/1426	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2004%20Feb%202021%2004:42:36%20GMT	https://swiftbusinesspay.com/wp-includes/js/wp-embed.min.js?ver=5.8	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-includes/js/wp-embed.min41a3.js	(from https://swiftbusinesspay.com/)
21:09:55	22712/22712	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Aug%202021%2005:42:45%20GMT	https://swiftbusinesspay.com/wp-content/plugins/bdthemes-element-pack/assets/vendor/js/particles.min.js?ver=2.0.0	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/bdthemes-element-pack/assets/vendor/js/particles.min001e.js	(from https://swiftbusinesspay.com/)
21:09:56	133873/133873	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Aug%202021%2005:42:45%20GMT	https://swiftbusinesspay.com/wp-content/plugins/bdthemes-element-pack/assets/js/bdt-uikit.min.js?ver=3.5.5	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/bdthemes-element-pack/assets/js/bdt-uikit.mina25a.js	(from https://swiftbusinesspay.com/)
21:09:57	4879/4879	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20Aug%202021%2019:47:57%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.4.2	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor/assets/js/webpack.runtime.minccfb.js	(from https://swiftbusinesspay.com/)
21:09:58	14002/14002	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20Aug%202021%2019:47:57%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.4.2	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor/assets/js/frontend-modules.minccfb.js	(from https://swiftbusinesspay.com/)
21:09:59	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20Aug%202021%2019:48:02%20GMT	https://swiftbusinesspay.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://swiftbusinesspay.com/)
21:10:00	20787/20787	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2004:43:04%20GMT	https://swiftbusinesspay.com/wp-includes/js/jquery/ui/core.min.js?ver=1.12.1	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-includes/js/jquery/ui/core.min35d0.js	(from https://swiftbusinesspay.com/)
